Gene A,Gene B,Uniprot A,Uniprot B,Symbol A,Symbol B,,,
1676,1677,O00273-2,O76075,DFFA,DFFB,,,
55850,152579,Q9NZ43,Q8WU76,USE1,SCFD2,,,
10466,83548,Q9UP83-2,Q96JB2,COG5,COG3,,,
4314,4319,P08254,P09238,MMP3,MMP10,,,
55081,92104,Q9NWB7,Q86WT1,IFT57,TTC30A,,,
3726,2355,P17275,P15408,JUNB,FOSL2,,,
64398,55327,Q8N3R9-2,Q9NUP9,MPP5,LIN7C,,,
10927,144097,Q9Y657,Q9BUA3,SPIN1,C11orf84,,,
10138,7703,Q8IY57,P35227,YAF2,PCGF2,,,
122786,11228,Q96NE9-2,Q8NHQ8-2,FRMD6,RASSF8,,,
11123,5533,Q9UKA8,P48454,RCAN3,PPP3CC,,,
11252,23242,Q9UNF0-2,O75128-2,PACSIN2,COBL,,,
84276,54839,Q9BSH3,Q8IUZ0,NICN1,LRRC49,,,
7325,64320,Q96LR5,Q96BH1,UBE2E2,RNF25,,,
23635,23648,D6RH18,Q9BWW4-2,SSBP2,SSBP3,,,
51422,5564,Q9UGJ0-2,Q9Y478,PRKAG2,PRKAB1,,,
8874,9459,Q14155-1,Q15052-2,ARHGEF7,ARHGEF6,,,
84062,54785,Q96EV8-2,Q96GS4,DTNBP1,C17orf59,,,
23339,55823,Q96JC1-2,Q9H270,VPS39,VPS11,,,
53371,9818,Q7Z3B4-2,Q9BVL2-2,NUP54,NUPL1,,,
9815,9459,Q14161,Q15052-2,GIT2,ARHGEF6,,,
129880,582,Q8N3I7-2,Q8NFJ9-2,BBS5,BBS1,,,
64769,11143,Q9HAF1-2,O95251,MEAF6,MYST2,,,
28981,80173,Q8WYA0,Q96LB3,IFT81,IFT74,,,
9686,7004,Q14135-2,Q15561,VGLL4,TEAD4,,,
51397,54951,Q9Y6G5,Q9NX08,COMMD10,COMMD8,,,
51562,10474,Q9NS73-5,O75528,MBIP,TADA3,,,
80333,30819,Q6PIL6-2,Q9NS61-2,KCNIP4,KCNIP2,,,
9559,112936,O75436,Q4G0F5,VPS26A,VPS26B,,,
661,55718,P05423,Q9NVU0-2,POLR3D,POLR3E,,,
54951,54939,Q9NX08,Q9H0A8,COMMD8,COMMD4,,,
83548,57511,Q96JB2,Q9Y2V7,COG3,COG6,,,
55275,55610,Q5VIR6,Q96JG6,VPS53,CCDC132,,,
55742,3611,Q9NVD7,Q13418,PARVA,ILK,,,
54797,219541,Q9BUE0,A0JLT2-2,MED18,MED19,,,
902,1022,P51946,P50613,CCNH,CDK7,,,
51133,92799,Q9Y597-2,Q8TBC3,KCTD3,SHKBP1,,,
