Gene A,Gene B,Uniprot A,Uniprot B,Symbol A,Symbol B,,,
23219,9815,Q9NVF7,Q14161,FBXO28,GIT2,,,
2235,154791,P22830-2,Q96HJ9,FECH,C7orf55,,,
10884,128308,Q9NP92,Q7Z7F7-2,MRPS30,MRPL55,,,
55800,91687,Q9NY72,Q8N0S6,SCN3B,CENPL,,,
10900,10928,Q59EK9-3,Q15311,RUNDC3A,RALBP1,,,
151647,5362,Q96LR4,O75051,FAM19A4,PLXNA2,,,
23210,58509,Q6NYC1-2,Q8WUQ7-2,JMJD6,C19orf29,,,
3113,23400,P20036,Q9NQ11-2,HLA-DPA1,ATP13A2,,,
57476,22890,Q3KR37-2,Q9Y2K1-2,GRAMD1B,ZBTB1,,,
84292,9181,Q9BRX9,Q92974-2,WDR83,ARHGEF2,,,
5786,10260,P18433-2,Q7Z401,PTPRA,DENND4A,,,
1017,902,P24941,P51946,CDK2,CCNH,,,
55515,51182,Q96FT7-4,Q0VDF9,ACCN4,HSPA14,,,
79719,26098,Q6PD74,Q3B7T1,AAGAB,C10orf137,,,
10761,57634,Q9HBJ0,Q96L91,PLAC1,EP400,,,
79012,5411,Q8NCB2-2,Q9H307,CAMKV,PNN,,,
11342,1176,O43567,Q92572,RNF13,AP3S1,,,
1024,112950,P49336-2,Q96G25-2,CDK8,MED8,,,
23219,28964,Q9NVF7,Q9Y2X7-3,FBXO28,GIT1,,,
219931,84669,Q8NHX9,Q8NFA0,TPCN2,USP32,,,
92609,10810,Q3ZCQ8-2,Q86VQ2,TIMM50,WASF3,,,
203260,9648,Q8WV48,Q8IWJ2,CCDC107,GCC2,,,
8607,10445,Q9Y265,Q96EZ8-2,RUVBL1,MCRS1,,,
5876,9459,P53611,Q15052-2,RABGGTB,ARHGEF6,,,
3423,374378,P22304-3,Q6P9A2,IDS,GALNTL4,,,
3646,8662,P60228,P55884-2,EIF3E,EIF3B,,,
84861,22828,Q53GT1,Q9UPN6,KLHL22,SCAF8,,,
134553,92335,Q7Z6I8,Q7RTN6,C5orf24,STRADA,,,
374383,402,Q68D85,P36404,DKFZp686O24166,ARL2,,,
1024,9969,P49336-2,Q9UHV7,CDK8,MED13,,,
114898,1289,Q9BXJ5,P20908,C1QTNF2,COL5A1,,,
9412,8673,Q13503,Q9BV40,MED21,VAMP8,,,
284369,1687,Q8N7X8,O60443,C19orf75,DFNA5,,,
64794,3933,Q9H8H2,P31025,DDX31,LCN1,,,
50619,9577,Q9H4E7,Q9NXR7,DEF6,BRE,,,
60313,271,Q9HC44,Q01433-2,GPBP1L1,AMPD2,,,
387032,7727,Q969J2,Q15697-2,ZKSCAN4,ZNF174,,,
79944,144568,Q9H9P8-2,A8K2U0,L2HGDH,A2ML1,,,
6605,55193,Q969G3-2,Q86U86-2,SMARCE1,PBRM1,,,
116159,9223,Q96J86-2,Q96QZ7-2,CYYR1,MAGI1,,,
54785,28956,Q96GS4,Q9Y2Q5,C17orf59,LAMTOR2,,,
8424,6744,O75936,P28290,BBOX1,SSFA2,,,
23016,11340,Q15024,Q96B26,EXOSC7,EXOSC8,,,
54585,123016,Q9NQ48,Q8TAM2-4,LZTFL1,TTC8,,,
260293,8500,Q8N118,Q13136-2,CYP4X1,PPFIA1,,,
286343,3297,Q8IV03,Q00613-2,C9orf150,HSF1,,,
10190,7203,O14530,P49368,TXNDC9,CCT3,,,
10775,138716,O95707,Q8N5L8,POP4,C9orf23,,,
54810,23677,Q8TF65,Q9P0V3,GIPC2,SH3BP4,,,
9533,11128,O15160-2,O14802,POLR1C,POLR3A,,,
84915,5089,Q5U5X8,P40425,C12orf34,PBX2,,,
55638,9751,Q9NX95-3,O15079-2,SYBU,SNPH,,,
4956,64847,Q14990,Q8TB22-2,ODF1,SPATA20,,,
83942,10243,Q9BXA7,Q9NQX3-2,TSSK1B,GPHN,,,
6627,8175,P09661,Q15428,SNRPA1,SF3A2,,,
50717,8451,Q5TAQ9,Q13619,DCAF8,CUL4A,,,
9260,5784,Q9NR12,Q15678,PDLIM7,PTPN14,,,
81562,20,Q9H0V9-2,Q9BZC7-2,LMAN2L,ABCA2,,,
140564,51535,Q96AK3,Q8NEY8-2,APOBEC3D,PPHLN1,,,
960,79012,P16070-10,Q8NCB2-2,CD44,CAMKV,,,
10534,261734,O60232,O75161,SSSCA1,NPHP4,,,
6635,10081,P62304,Q8N8D1,SNRPE,PDCD7,,,
55093,51193,Q96HA8,Q9UID6,WDYHV1,ZNF639,,,
4176,8914,P33993,Q9UNS1-2,MCM7,TIMELESS,,,
5824,401541,P40855,Q6IPU0,PEX19,CENPP,,,
124995,84311,Q7Z7H8,Q9BRJ2,MRPL10,MRPL45,,,
8452,55175,Q13618-2,Q9NVR0,CUL3,KLHL11,,,
890,1027,P20248,P46527,CCNA2,CDKN1B,,,
10345,27333,UNKNOWN,O00461,TRDN,GOLIM4,,,
27152,23512,Q9ULD6,Q15022,INTU,SUZ12,,,
26468,22847,Q9UPM6-3,Q8TCN5,LHX6,ZNF507,,,
55954,55599,Q9UDW3,Q96LT9,ZMAT5,RNPC3,,,
79839,90441,Q68D86-3,Q969S3,CCDC102B,ZNF622,,,
2237,5111,P39748,P12004,FEN1,PCNA,,,
150483,755,Q8WW24,O43822-2,TEKT4,C21orf2,,,
1459,984,P19784,P21127-10,CSNK2A2,CDK11B,,,
84908,23185,Q96C01,Q92615,FAM136A,LARP4B,,,
131177,5311,Q96BQ1,Q13563,FAM3D,PKD2,,,
65993,389362,P82930,Q5JS54,MRPS34,PSMG4,,,
11243,80230,Q6P1K2,Q96T51-2,PMF1,RUFY1,,,
23210,9169,Q6NYC1-2,Q99590,JMJD6,SCAF11,,,
6358,728489,Q16627,Q5SXM8,CCL14,DNLZ,,,
80726,139285,Q9H0B3-2,Q5JTC6,KIAA1683,FAM123B,,,
5698,51526,P28065,Q9NX31,PSMB9,C20orf111,,,
2846,399512,Q99677,Q3KQZ1-2,LPAR4,SLC25A35,,,
29992,3910,C9JJ79,Q16363-2,PILRA,LAMA4,,,
84125,659,Q96JM4-2,Q13873,LRRIQ1,BMPR2,,,
5434,55718,P19388,Q9NVU0-2,POLR2E,POLR3E,,,
1196,29072,P49760-3,Q9BYW2,CLK2,SETD2,,,
58485,55201,Q9Y5R8,Q66K74,TRAPPC1,MAP1S,,,
124245,10210,Q86VM9,Q9NS56,ZC3H18,TOPORS,,,
79707,54881,Q5SY16,Q9NXF1,NOL9,TEX10,,,
83594,23307,Q9BQG2,Q5T1M5-2,NUDT12,FKBP15,,,
83719,25827,P61236-2,Q9UKC9,YPEL3,FBXL2,,,
10920,53339,Q99627,Q9H0C5,COPS8,BTBD1,,,
8409,8725,Q9UBK9,O94763-2,UXT,C19orf2,,,
27290,5654,O60575,Q92743,SPINK4,HTRA1,,,
80344,8451,Q8TEB1,Q13619,DCAF11,CUL4A,,,
26747,6812,Q9UHK0,P61764-2,NUFIP1,STXBP1,,,
165829,9855,Q8NFN8,O94887-2,GPR156,FARP2,,,
4722,4715,O75489,Q9Y6M9,NDUFS3,NDUFB9,,,
10956,83752,Q13438,Q86WA8,OS9,LONP2,,,
196500,115,Q8IYJ0-2,O60503,C12orf53,ADCY9,,,
4250,91775,Q13296-2,Q969Y0,SCGB2A2,FAM55C,,,
1432,3219,Q16539-3,P17482,MAPK14,HOXB9,,,
23429,7027,Q8N488,Q14186,RYBP,TFDP1,,,
81493,8517,Q9H7C4-2,Q9Y6K9-2,SYNC,IKBKG,,,
85403,4795,Q96JC9,Q9UBC1-2,EAF1,NFKBIL1,,,
85481,730211,Q96QS6,Q58FG0,PSKH2,HSP90AA5P,,,
339345,29883,P60321,Q9UIV1,NANOS2,CNOT7,,,
9911,2011,O75069,Q7KZI7-10,TMCC2,MARK2,,,
4759,7023,Q9Y3R4,Q01664,NEU2,TFAP4,,,
51019,282991,Q9Y3C0,Q6QNY1,CCDC53,BLOC1S2,,,
340307,375056,Q86UF2,Q5JRA6-2,CTAGE6P,MIA3,,,
26747,1809,Q9UHK0,B3SXQ8,NUFIP1,DPYSL3,,,
64900,329,E9PG51,Q13490,LPIN3,BIRC2,,,
202915,2963,UNKNOWN,P13984,TMEM184A,GTF2F2,,,
1452,9462,P48729-2,Q9UJF2,CSNK1A1,RASAL2,,,
57118,57172,Q8IU85-2,Q96NX5,CAMK1D,CAMK1G,,,
2267,55739,Q08830,Q8IW45-2,FGL1,CARKD,,,
9507,331,O75173,P98170,ADAMTS4,XIAP,,,
26228,23607,Q9ULZ2,Q9Y5K6,STAP1,CD2AP,,,
5876,5064,P53611,O75781-2,RABGGTB,PALM,,,
1003,1499,P33151,P35222,CDH5,CTNNB1,,,
23158,23061,Q6ZT07,Q66K14-2,TBC1D9,TBC1D9B,,,
491,221496,Q01814-5,Q8NC56,ATP2B2,LEMD2,,,
80230,22902,Q96T51-2,Q7L099-2,RUFY1,RUFY3,,,
55374,84457,Q96DC7-2,Q96FC7-2,TMCO6,PHYHIPL,,,
10361,4869,Q86SE8,P06748-2,NPM2,NPM1,,,
8031,2512,Q13772,P02792,NCOA4,FTL,,,
9554,10282,O75396,O15155,SEC22B,BET1,,,
2091,80264,P22087,Q9H8G1,FBL,ZNF430,,,
10380,55349,O95861,Q8NE62,BPNT1,CHDH,,,
7525,3323,P07947,Q58FG1,YES1,HSP90AA4P,,,
5901,9787,P62826,Q15398,RAN,DLGAP5,,,
339287,10943,Q68DK7,Q8N5Y2,MSL1,MSL3,,,
10474,51616,O75528,Q9HBM6,TADA3,TAF9B,,,
1671,9807,Q01524,Q92551,DEFA6,IP6K1,,,
9402,996,O75791,P30260,GRAP2,CDC27,,,
200894,56912,Q3SXY8,Q9NQC8-2,ARL13B,IFT46,,,
79917,8697,Q9H6Y5-3,Q9UJX2,MAGIX,CDC23,,,
5433,9400,O15514,O94762,POLR2D,RECQL5,,,
81704,57572,Q8NF50,Q96HP0,DOCK8,DOCK6,,,
4314,348,P08254,P02649,MMP3,APOE,,,
960,79065,P16070-10,Q7Z3C6-2,CD44,ATG9A,,,
2495,25818,P02794,Q9Y337,FTH1,KLK5,,,
6636,64852,P62306,Q9H6E5,SNRPF,TUT1,,,
64978,341208,Q96DV4,Q6MZM0,MRPL38,HEPHL1,,,
6638,56257,P63162,Q7L2J0,SNRPN,MEPCE,,,
347862,9581,Q8NB37-2,Q4J6C6-3,PDDC1,PREPL,,,
7268,3327,O95801,Q58FF7,TTC4,HSP90AB3P,,,
9402,10318,O75791,Q15025-2,GRAP2,TNIP1,,,
53632,5563,Q9UGI9,P54646,PRKAG3,PRKAA2,,,
5885,23244,O60216,Q29RF7,RAD21,PDS5A,,,
4313,2335,P08253,P02751-10,MMP2,FN1,,,
10920,26094,Q99627,Q8WV16,COPS8,DCAF4,,,
84307,55311,Q8NF99,Q8N0Y2-2,ZNF397,ZNF444,,,
4035,130535,Q07954,Q6PI47,LRP1,KCTD18,,,
54531,1876,Q8N344,O75461,MIER2,E2F6,,,
54536,55770,Q8TAG9,Q96KP1,EXOC6,EXOC2,,,
29993,29763,Q9BY11,Q9UKS6,PACSIN1,PACSIN3,,,
7991,6185,Q13454-2,P04844,TUSC3,RPN2,,,
3964,7779,O00214,Q9Y6M5,LGALS8,SLC30A1,,,
3964,28962,O00214,Q86WC4,LGALS8,OSTM1,,,
5351,64397,Q02809,Q9H2Y7,PLOD1,ZFP106,,,
6320,8502,Q9Y240,Q99569-2,CLEC11A,PKP4,,,
119180,374378,Q7Z4W2-2,Q6P9A2,LYZL2,GALNTL4,,,
28966,55690,Q9Y343-2,Q6VY07,SNX24,PACS1,,,
1902,6548,Q92633,P19634,LPAR1,SLC9A1,,,
64175,5973,Q32P28-3,P51606,LEPRE1,RENBP,,,
266812,220134,Q96NT1,Q96BD8,NAP1L5,SKA1,,,
65061,6820,Q96Q40-3,O00204-2,CDK15,SULT2B1,,,
817,126789,Q13557-10,Q8N0Z8,CAMK2D,PUSL1,,,
117283,390928,Q96PC2,Q6ZNF0,IP6K3,PAPL,,,
1024,9862,P49336-2,O75448,CDK8,MED24,,,
9610,3265,Q13671,P01112,RIN1,HRAS,,,
7320,56852,P63146,Q9NS91,UBE2B,RAD18,,,
63920,22847,Q8IZ13,Q8TCN5,C5orf54,ZNF507,,,
64866,3953,Q9H5V8-3,P48357-2,CDCP1,LEPR,,,
121457,10152,Q70UQ0-4,Q9NYB9-2,IKBIP,ABI2,,,
5106,1755,Q16822,Q9UGM3-2,PCK2,DMBT1,,,
5203,5204,Q9NQP4,Q99471,PFDN4,PFDN5,,,
284273,8379,Q8N4Q0,Q9Y6D9,ZADH2,MAD1L1,,,
10534,55171,O60232,Q9NVR7,SSSCA1,TBCCD1,,,
139067,26190,Q5MJ09,Q9UKT8,SPANXN3,FBXW2,,,
57552,167127,Q6PIU2-2,Q3SY77,NCEH1,UGT3A2,,,
2861,10482,O15354,Q9UBU9,GPR37,NXF1,,,
255626,9425,Q96A08,Q9Y232-2,HIST1H2BA,CDYL,,,
2,55118,P01023,Q9NQ79-2,A2M,CRTAC1,,,
25844,51290,Q9GZM5,Q96RQ1,YIPF3,ERGIC2,,,
2120,22795,P41212,Q14112-2,ETV6,NID2,,,
79012,8546,Q8NCB2-2,O00203,CAMKV,AP3B1,,,
80755,27031,Q9BTE6-2,Q7Z494-7,AARSD1,NPHP3,,,
245972,10312,Q8N8Y2,Q13488,ATP6V0D2,TCIRG1,,,
170589,84706,Q96T91,Q8TD30,GPHA2,GPT2,,,
11130,10403,O95229,O14777,ZWINT,NDC80,,,
11189,60680,Q5SZQ8-2,Q8N6W0,CELF3,CELF5,,,
284161,5005,Q8N9F7-2,P19652,GDPD1,ORM2,,,
11218,8615,Q9UHI6,O60763-2,DDX20,USO1,,,
6241,3636,P31350,O15357,RRM2,INPPL1,,,
54431,10516,Q8IXB1,Q9UBX5,DNAJC10,FBLN5,,,
54433,83732,Q9NY12-2,Q9BRS2,GAR1,RIOK1,,,
51060,85378,O95881,Q96RT7-2,TXNDC12,TUBGCP6,,,
23481,92345,O00541,Q96HR8,PES1,NAF1,,,
221074,53826,Q504Y0-3,Q9H0Q3,SLC39A12,FXYD6,,,
27238,84811,Q92917,Q9BRD0,GPKOW,BUD13,,,
10524,54556,Q92993-2,Q9NXR8,KAT5,ING3,,,
9701,79594,O75170-2,Q969V5,PPP6R2,MUL1,,,
51077,2125,Q9Y324,Q92817,FCF1,EVPL,,,
131377,55388,Q2TBA0,Q7L590-2,KBTBD5,MCM10,,,
3936,150465,P13796,Q8NG68,LCP1,TTL,,,
3123,83460,P01911,Q9BV81,HLA-DRB1,TMEM93,,,
11186,4524,Q9NS23-2,P42898,RASSF1,MTHFR,,,
6421,27249,P23246,Q9H3L0,SFPQ,MMADHC,,,
26128,9371,Q96EK5,O15066,KIAA1279,KIF3B,,,
9583,51449,Q9Y227-2,Q9UHG3,ENTPD4,PCYOX1,,,
256380,197131,Q8N228-2,Q8IWV7,SCML4,UBR1,,,
6615,22933,O95863,Q8IXJ6-2,SNAI1,SIRT2,,,
1716,63908,Q16854-2,Q9H115,DGUOK,NAPB,,,
4302,4281,P55198,O15344,MLLT6,MID1,,,
9749,59,O75167,P62736,PHACTR2,ACTA2,,,
83998,5654,Q9BYZ8,Q92743,REG4,HTRA1,,,
2267,55201,Q08830,Q66K74,FGL1,MAP1S,,,
240,4047,P09917,P48449,ALOX5,LSS,,,
6382,2247,P18827,P09038-1,SDC1,FGF2,,,
64376,55320,Q9H5V7,Q6P0N0,IKZF5,MIS18BP1,,,
1667,5534,UNKNOWN,P63098,DEFA1,PPP3R1,,,
11130,147841,O95229,Q8NBT2,ZWINT,SPC24,,,
65110,55109,Q9H1J1-2,Q8N302,UPF3A,AGGF1,,,
9308,7779,Q01151,Q9Y6M5,CD83,SLC30A1,,,
441058,11119,UNKNOWN,O00481-2,MGC39584,BTN3A1,,,
135250,51299,Q8TD07-3,Q9NPD7,RAET1E,NRN1,,,
7850,55763,P27930,Q9NV70-2,IL1R2,EXOC1,,,
1024,116931,P49336-2,Q86YW9-4,CDK8,MED12L,,,
151790,55114,Q8IV35,E9PH15,WDR49,ARHGAP17,,,
9217,57683,O95292,Q9HCK1,VAPB,ZDBF2,,,
221184,200081,Q96FN4,P40222,CPNE2,TXLNA,,,
2720,55262,P16278-3,Q8WVR3,GLB1,C7orf43,,,
8858,91419,P22891-2,Q9Y6H3,PROZ,XRCC6BP1,,,
84321,8563,Q96J01,Q13769,THOC3,THOC5,,,
57118,4589,Q8IU85-2,Q8TAX7,CAMK1D,MUC7,,,
10617,5286,O95630,O00443,STAMBP,PIK3C2A,,,
151011,23176,Q9P0V9-2,Q92599-2,SEPT10,SEPT8,,,
348995,51002,Q8NFH3,Q9Y3C4-2,NUP43,TPRKB,,,
4735,10801,Q15019-2,Q9UHD8-2,SEPT2,SEPT9,,,
84612,3996,Q9BYG5,Q15334,PARD6B,LLGL1,,,
158399,80317,Q8TF39,Q9BRR0,ZNF483,ZKSCAN3,,,
55715,10363,Q8TEW6,Q9NP66,DOK4,HMG20A,,,
6773,6867,P52630,O75410-2,STAT2,TACC1,,,
283208,64319,Q7Z4N8,Q9HAH7-1,P4HA3,FBRS,,,
9404,6311,O60711,Q99700-2,LPXN,ATXN2,,,
56342,3006,UNKNOWN,P16403,PPAN,HIST1H1C,,,
6138,55352,P61313,Q9NQ92,RPL15,C17orf79,,,
112869,6938,Q96ES7,Q99081-3,CCDC101,TCF12,,,
5817,720,P15151-2,P0C0L4,PVR,C4A,,,
200558,440686,Q8IW19,Q5TEC6,APLF,HIST2H3PS2,,,
115825,2820,Q96P53,P43304-2,WDFY2,GPD2,,,
27122,259266,Q9UBP4,Q8IZT6,DKK3,ASPM,,,
54925,1491,Q6WMU8,P32929-2,ZNF434,CTH,,,
1639,830,Q14203-2,P47755,DCTN1,CAPZA2,,,
51013,10200,Q9Y3B2,Q99547,EXOSC1,MPHOSPH6,,,
9129,56257,O43395,Q7L2J0,PRPF3,MEPCE,,,
9274,93973,Q8WUZ0-2,Q9H981,BCL7C,ACTR8,,,
2355,26145,P15408,Q8IU81,FOSL2,IRF2BP1,,,
1800,5277,P16444,P37287-2,DPEP1,PIGA,,,
10155,10793,Q13263-2,Q14593,TRIM28,ZNF273,,,
2994,1967,UNKNOWN,Q14232,GYPB,EIF2B1,,,
4319,51083,P09238,P22466,MMP10,GAL,,,
6790,57658,O14965,Q9P1Z2-2,AURKA,CALCOCO1,,,
3916,8324,P11279,O75084,LAMP1,FZD7,,,
240,51780,P09917,Q7LBC6,ALOX5,KDM3B,,,
92609,55845,Q3ZCQ8-2,Q8WUW1-2,TIMM50,C3orf10,,,
2,79006,P01023,Q9UJH8,A2M,METRN,,,
9046,5335,O60496,P19174-2,DOK2,PLCG1,,,
11275,139596,D6R9G5,Q96BW1,KLHL2,UPRT,,,
64708,667,Q9H9Q2,Q03001,COPS7B,DST,,,
25844,23052,Q9GZM5,O94919,YIPF3,ENDOD1,,,
11151,23603,P31146,Q9ULV4,CORO1A,CORO1C,,,
5718,9861,O00232,Q15008,PSMD12,PSMD6,,,
896,1031,P30281,P42773,CCND3,CDKN2C,,,
84960,9135,Q5T5S1-2,Q15276,KIAA1984,RABEP1,,,
83719,84961,P61236-2,Q96IG2-2,YPEL3,FBXL20,,,
7289,23411,O75386,Q96EB6,TULP3,SIRT1,,,
7434,91012,P41587,Q8N5B7,VIPR2,LASS5,,,
23580,5413,Q9H3Q1,Q99719,CDC42EP4,SEPT5,,,
10540,11258,Q13561-2,O75935-2,DCTN2,DCTN3,,,
6635,9465,P62304,Q9P0M2,SNRPE,AKAP7,,,
8533,2873,Q9UNS2,Q13098-5,COPS3,GPS1,,,
6637,55954,A8MWD9,Q9UDW3,SNRPG,ZMAT5,,,
7260,738,Q53HC9,Q9UID3-2,TSSC1,C11orf2,,,
51081,60558,Q9Y2R9,Q8N442,MRPS7,GUF1,,,
9463,5311,Q9NRD5,Q13563,PICK1,PKD2,,,
10670,5502,Q7L523,Q13522,RRAGA,PPP1R1A,,,
155185,10152,Q400G9,Q9NYB9-2,AMZ1,ABI2,,,
2664,5872,P31150,P51153,GDI1,RAB13,,,
346689,321,A4D1S0,E9PGI4,KLRG2,APBA2,,,
56928,80723,Q8TCT7,Q8TBE7,SPPL2B,TMEM22,,,
91526,4854,Q8N8A2-2,Q9UM47,ANKRD44,NOTCH3,,,
6605,57492,Q969G3-2,Q8NFD5-2,SMARCE1,ARID1B,,,
51299,9990,Q9NPD7,Q9UHW9-2,NRN1,SLC12A6,,,
55718,55703,Q9NVU0-2,Q9NW08,POLR3E,POLR3B,,,
6635,134353,P62304,P83369,SNRPE,LSM11,,,
1902,53373,Q92633,Q9ULQ1-3,LPAR1,TPCN1,,,
653219,23523,UNKNOWN,Q9Y6J0,XAGE1A,CABIN1,,,
9208,2314,Q32MZ4-2,Q13045,LRRFIP1,FLII,,,
5954,138428,Q15293,Q86Y79,RCN1,PTRH1,,,
2041,80210,P21709,Q7Z3E5-2,EPHA1,ARMC9,,,
2263,9213,P21802-10,Q9UBH6-2,FGFR2,XPR1,,,
7991,159090,Q13454-2,Q7Z309-3,TUSC3,FAM122B,,,
10577,3101,P61916,P52790,NPC2,HK3,,,
2976,26146,Q8WUA4-2,Q8TDR0-2,GTF3C2,TRAF3IP1,,,
83548,6903,Q96JB2,Q15814,COG3,TBCC,,,
81788,8216,Q9H093,Q8N653,NUAK2,LZTR1,,,
114822,50512,Q8TCX5-2,Q9NZ53,RHPN1,PODXL2,,,
1432,91807,Q16539-3,Q32MK0,MAPK14,MYLK3,,,
22943,4040,O94907,O75581,DKK1,LRP6,,,
84548,57465,Q8NFB2,Q9ULP9-2,TMEM185A,TBC1D24,,,
84790,255394,Q9BQE3,Q8N4U5,TUBA1C,TCP11L2,,,
150094,23235,P57059,Q9H0K1,SIK1,SIK2,,,
5351,3187,Q02809,P31943,PLOD1,HNRNPH1,,,
2246,6385,P05230,P31431,FGF1,SDC4,,,
8881,84626,Q13042-2,A5PL33-2,CDC16,KRBA1,,,
127544,54832,Q6ZMZ0,Q709C8-2,RNF19B,VPS13C,,,
5691,51526,P49720,Q9NX31,PSMB3,C20orf111,,,
10330,64856,Q9Y2B0,Q6PCB0,CNPY2,VWA1,,,
23087,64400,Q9UPQ4,Q9H8T0-2,TRIM35,AKTIP,,,
10474,27097,O75528,O75529,TADA3,TAF5L,,,
56928,3321,Q8TCT7,O75054-2,SPPL2B,IGSF3,,,
284369,9044,Q8N7X8,O14981,C19orf75,BTAF1,,,
92714,137492,Q8N5I2,Q8NEZ2,ARRDC1,VPS37A,,,
30832,6653,Q86Y25,Q92673,ZNF354C,SORL1,,,
1731,4735,Q8WYJ6,Q15019-2,SEPT1,SEPT2,,,
79682,55166,Q71F23-2,Q7L2Z9,MLF1IP,CENPQ,,,
64978,391123,Q96DV4,Q5VU13,MRPL38,VSIG8,,,
6780,80204,O95793-2,Q86XK2-5,STAU1,FBXO11,,,
554223,51661,Q86V94,Q9Y680-2,LOC554223,FKBP7,,,
51517,5335,Q9NZQ3-2,P19174-2,NCKIPSD,PLCG1,,,
66000,285966,Q6UXF1,A6NFQ2,TMEM108,FAM115C,,,
491,1191,Q01814-5,P10909-2,ATP2B2,CLU,,,
5824,80146,P40855,Q8NBZ7-2,PEX19,UXS1,,,
55800,27340,Q9NY72,O75691,SCN3B,UTP20,,,
64881,9913,Q8N6Y1,O94864-2,PCDH20,SUPT7L,,,
348995,4928,Q8NFH3,P52948-5,NUP43,NUP98,,,
10330,80169,Q9Y2B0,Q2NKJ3,CNPY2,CTC1,,,
323,8165,Q92870-2,Q92667-2,APBB2,AKAP1,,,
8674,1340,O75379-2,P14854,VAMP4,COX6B1,,,
55603,56647,Q96IP4-2,Q9P287-2,FAM46A,BCCIP,,,
8399,7481,O15496,O96014,PLA2G10,WNT11,,,
9230,1122,Q15907,P26374,RAB11B,CHML,,,
64398,154810,Q8N3R9-2,Q8IY63-2,MPP5,AMOTL1,,,
56269,6195,Q6NXR0,Q15418-2,IRGC,RPS6KA1,,,
23291,55031,Q9UKB1-2,Q96K76,FBXW11,USP47,,,
25953,55698,Q8N490-2,Q96JH8-1,PNKD,RADIL,,,
134285,55388,Q8WVE6,Q7L590-2,TMEM171,MCM10,,,
94134,727897,Q8IWW6-3,Q9HC84,ARHGAP12,MUC5B,,,
339229,154791,Q5BKU9,Q96HJ9,C17orf90,C7orf55,,,
192669,730211,Q9H9G7-2,Q58FG0,EIF2C3,HSP90AA5P,,,
284184,79133,A1L188,Q5TEU4,C17orf89,C20orf7,,,
2638,653269,D6RAK8,P0CG38,GC,POTEI,,,
960,56980,P16070-10,Q9NQV6-1,CD44,PRDM10,,,
339479,57795,Q76B58,Q9C0B6,FAM5C,FAM5B,,,
1936,7407,P29692-2,P26640,EEF1D,VARS,,,
55216,1457,Q6ZUT1-2,P68400,C11orf57,CSNK2A1,,,
55035,9875,Q76FK4-4,O60287,NOL8,URB1,,,
944,6259,P32971,P34925-2,TNFSF8,RYK,,,
3964,196527,O00214,Q4KMQ2,LGALS8,ANO6,,,
65983,57655,Q96HH9,Q96CP6-2,GRAMD3,GRAMD1A,,,
5499,8725,P62136,O94763-2,PPP1CA,C19orf2,,,
2219,23317,O00602,O75165,FCN1,DNAJC13,,,
7026,2063,P24468,P10588,NR2F2,NR2F6,,,
10155,162967,Q13263-2,A2RRD8,TRIM28,ZNF320,,,
7423,55128,P49765-2,Q6AZZ1,VEGFB,TRIM68,,,
340385,27031,Q6ZMY9,Q7Z494-7,ZNF517,NPHP3,,,
9112,5928,Q13330-2,Q09028-2,MTA1,RBBP4,,,
5499,55183,P62136,Q5UIP0-2,PPP1CA,RIF1,,,
401563,6406,Q6ZV77,P04279,C9orf139,SEMG1,,,
80864,23219,Q99944,Q9NVF7,EGFL8,FBXO28,,,
8905,55435,P56377,Q63HQ0,AP1S2,AP1AR,,,
7850,55687,P27930,O75648-2,IL1R2,TRMU,,,
10474,8464,O75528,O75486-2,TADA3,SUPT3H,,,
387032,51282,Q969J2,P57086,ZKSCAN4,SCAND1,,,
9020,7187,Q99558,Q13114,MAP3K14,TRAF3,,,
5578,79801,P17252,Q8NEM2,PRKCA,SHCBP1,,,
131583,5525,Q8N2R8,Q15172,FAM43A,PPP2R5A,,,
60487,2581,Q7Z4G4-2,P54803-4,TRMT11,GALC,,,
6320,121457,Q9Y240,Q70UQ0-4,CLEC11A,IKBIP,,,
5885,9126,O60216,Q9UQE7,RAD21,SMC3,,,
23582,29844,O95273,P0C1Z6,CCNDBP1,TFPT,,,
1173,8650,Q96CW1-2,P49757-3,AP2M1,NUMB,,,
51599,10928,Q86X29,Q15311,LSR,RALBP1,,,
57639,51053,Q8IYE0-2,O75496,CCDC146,GMNN,,,
10762,55193,Q9UKX7-2,Q86U86-2,NUP50,PBRM1,,,
5705,10928,P62195,Q15311,PSMC5,RALBP1,,,
351,23213,P05067-10,Q8IWU6,APP,SULF1,,,
5436,9150,P62487,Q9Y5B0-4,POLR2G,CTDP1,,,
8448,84959,Q14183,Q8TF42,DOC2A,UBASH3B,,,
5305,10921,P48426,Q15287-2,PIP4K2A,RNPS1,,,
8359,4796,UNKNOWN,Q96HA7,HIST1H4A,TONSL,,,
273,160,P49418,O95782-2,AMPH,AP2A1,,,
54865,91664,Q5T3I0-3,Q96IR2,GPATCH4,ZNF845,,,
79734,5442,Q8N5Z5-2,O00411,KCTD17,POLRMT,,,
51741,1856,Q9NZC7-2,O14641,WWOX,DVL2,,,
4726,4538,O75380,P03905,NDUFS6,ND4,,,
1880,1967,P32249,Q14232,GPR183,EIF2B1,,,
6627,10073,P09661,O95149,SNRPA1,SNUPN,,,
26235,221301,Q9UKA2,Q5JW98,FBXL4,FAM26D,,,
