cluster,SymbolA,SymbolB,
1078,RAB11FIP4,RAB11FIP3,
620,TRIAP1,SLMO2,
888,KCNC4,KCNC1,
848,RXRG,NR1H2,
1306,WFDC2,WDR81,
199,CTAGE5,CTAGE1,
513,TBC1D15,GRAMD4,
681,KBTBD4,C10orf46,
1007,TFCP2,TFCP2L1,
20,POLR2D,GRINL1A,
287,TNFSF13B,MAP3K5,
11,MED21,CCNC,
550,TSPAN33,PLEKHA7,
250,GYPB,RANBP17,
848,RXRG,RXRA,
1156,GRAP2,USP8,
103,PCDHA10,PCDHA13,
23,SMARCD1,SMARCC2,
45,COMMD1,COMMD3,
2,ZNF219,HDAC1,
1299,PRAMEF5,PRAMEF15,
219,PDK3,PDK1,
29,VAPA,OSBPL2,
860,GPS2,ANKRD11,
1153,NXT2,INPP4A,
536,PDCD10,STK24,
499,GNPDA1,GNPDA2,
737,PRSS50,PRSS46,
1219,SLC2A14,SLC2A3,
18,CDK2,CCNA2,
48,C1D,EXOSC3,
237,FAM90A1,BRD4,
19,DDX31,LPO,
45,CCDC22,FAM45A,
66,BCAS4,SRCIN1,
103,PCDHA10,PCDHA9,
362,LRCH3,DOCK6,
245,SOX2,SOX21,
592,EPN3,EPN2,
180,C13orf18,UVRAG,
707,CCDC6,PPP4R1,
125,WDYHV1,RAD54L,
413,HK1,HKDC1,
68,EIF3F,EIF3H,
38,TRAPPC1,TTC15,
247,MAP2K6,MAP2K3,
1301,CYP4F12,CYP4F8,
29,VAPB,OSBPL2,
45,COMMD10,COMMD4,
2,FAM60A,RBBP7,
425,SDHA,C6orf57,
390,GRAMD3,KIAA0494,
10,PIP4K2A,PIP4K2B,
49,HIF1A,MYH6,
424,MAFF,NFE2L1,
1289,CYP2C9,CYP2C19,
692,GUCY1B3,GUCY1A2,
62,SEPT7,SEPT10,
141,GEMIN6,GEMIN8,
45,COMMD8,COMMD3,
1281,ZNF764,SH3PXD2A,
262,STRAP,LARP6,
90,COPS8,COPS3,
440,GNAS,GNAL,
45,COMMD10,CCDC22,
49,TLE3,MYH2,
45,COMMD3,COMMD4,
68,EIF3I,EIF3H,
1316,SEC14L3,SEC14L4,
11,CCNC,CDK19,
196,NKIRAS2,GFOD1,
1048,RIN2,NAA11,
285,JPH4,ARHGAP29,
90,COPS2,COPS3,
103,PCDHA10,PCDHA11,
20,RPRD1B,RPRD1A,
756,TBC1D7,TSC1,
1303,RGS3,CRAT,
148,DSCC1,RFC4,
268,SET,REPIN1,
62,SEPT2,SEPT3,
261,KLHL22,SCARF2,
501,CINP,SPATA5L1,
45,COMMD2,CCDC22,
67,CTBP1,PRDM2,
90,COPS6,COPS3,
114,FGL1,TBC1D10A,
64,LIN7C,MPP7,
204,TRPC4AP,LOC100290337,
45,COMMD2,COMMD3,
127,DCTN6,ACTR1B,
1073,DENR,MCTS1,
80,MAPK14,MKNK1,
251,FGFR2,FGFR3,
37,WDR5,MLL2,
161,CENPP,ITGB3BP,
68,EIF3F,EIF3M,
62,SEPT1,SEPT5,
34,H2AFX,HIST1H2BO,
863,MAGEE1,EID2,
111,PMF1,KIF21B,
1132,PRAMEF17,PRAMEF10,
45,COMMD6,COMMD10,
49,TLE4,AES,
13,BIN2,BIN1,
161,CENPO,ITGB3BP,
111,NSL1,SPC24,
383,HSD3B2,HSD3B1,
68,EIF3H,EIF3L,
937,LYRM2,NDUFAB1,
670,CYP2A7,CYP2A13,
34,H2AFX,HIST1H2BD,
222,PACSIN1,COBLL1,
371,ELMO1,DOCK4,
109,CDCA4,PPP2R2D,
22,UGT1A10,UGT1A7,
273,SMAD3,SMAD2,
128,FNTB,GRIP1,
55,STAM,HGS,
637,LMAN2L,PTGS2,
31,PPP1CA,LRRC68,
90,COPS6,COPS5,
333,IDH3B,IDH3G,
556,PHKG2,PHKA1,
1312,PDE1C,PDE1A,
103,PCDHA10,PCDHA7,
225,TCEAL1,KDM3A,
45,COMMD3,FAM45A,
172,SNTG2,DMD,
1312,PDE1C,PDE1B,
49,TLE3,MYH1,
1071,VPS36,VPS25,
161,CENPP,MLF1IP,
822,MLX,MLXIPL,
223,C20orf20,EP400NL,
154,RBPJ,MAML1,
1043,NGEF,PRKCD,
2,MTA1,RBBP7,
274,PIK3R3,IRS2,
104,RCAN3,PPP3CA,
47,PRKACG,PRKAR2B,
423,LIMS1,PARVA,
405,MOBKL1A,LATS2,
1131,TCP10L2,TCP10,
23,DPF2,SMARCD1,
38,TRAPPC5,TRAPPC1,
54,CETN1,SGSM1,
856,AKR7A3,AKR7L,
393,CDC73,LEO1,
1309,SIGLEC10,SIGLEC16,
692,GUCY1B3,MXRA7,
479,ITLN1,ITLN2,
38,C5orf44,TTC15,
350,PPP4R2,SMEK2,
48,C1D,EXOSC8,
24,RAB40A,RAB40AL,
551,LPIN3,LPIN2,
45,COMMD6,FAM45A,
588,LYRM5,ETFA,
404,RAB11B,RAB11FIP2,
426,POTEB,LOC100287399,
45,COMMD6,COMMD2,
31,PPP1CA,PPP1R8,
905,INTS10,C12orf11,
18,CKS1B,CDK2,
77,ZNF645,KIAA1429,
45,CCDC22,COMMD3,
534,RAB8B,MICALL2,
408,WRAP73,HDDC3,
63,UNC119,PRKG2,
1,SNRPN,SNRPA1,
62,SEPT3,SEPT6,
417,PRKCA,PRKCB,
111,ZWINT,DSN1,
951,PRDM14,CBFA2T2,
849,TEAD4,WWTR1,
103,PCDHA9,PCDHA7,
325,RBFA,KBTBD7,
1140,USF1,USF2,
94,PHC1,SCMH1,
84,HIF1AN,CASKIN1,
426,POTEB,POTEC,
90,COPS5,COPS2,
38,TRAPPC5,TTC15,
245,SOX2,SOX14,
556,PHKG2,PHKG1,
48,C1D,EXOSC1,
573,SUV39H2,AP4E1,
116,GIT2,ARHGEF7,
62,SEPT2,SEPT6,
240,KCNAB1,KCNAB2,
111,DSN1,SPC24,
146,RPS4Y1,RPS4Y2,
1317,GABRG2,GABRG1,
379,DHDDS,NUS1,
18,CDK2,CCNE2,
160,CREB5,ATF2,
606,FAM170A,CSNK1A1L,
13,NECAP2,AP2M1,
387,AP1S2,AFTPH,
39,BTRC,MLPH,
132,ATXN7L3,ATXN7,
45,COMMD6,COMMD4,
24,SOCS6,CUL5,
45,COMMD6,COMMD8,
885,RFX5,RFXAP,
45,COMMD8,FAM45A,
29,VAPA,VAPB,
152,C14orf179,IFT122,
63,UNC119,PDE9A,
38,TRAPPC2,TRAPPC1,
721,HNRNPA1,HNRNPA1L2,
264,ERCC1,SLX4,
64,LIN7C,MPDZ,
417,PRKCA,PRKCG,
869,PDIK1L,CTDSPL2,
161,MLF1IP,ITGB3BP,
574,GTF2A1,TBPL1,
771,MND1,PSMC3IP,
64,LIN7C,INADL,
54,CETN1,KIAA1407,
603,GBP2,GBP3,
1173,MBNL1,MBNL3,
38,TRAPPC2,TTC15,
237,FAM90A1,FAM90A5,
62,SEPT7,SEPT6,
60,EEF1A2,EEF1D,
22,UGT1A9,UGT1A7,
166,CRY1,CRY2,
45,COMMD6,CCDC22,
333,IDH3A,IDH3G,
235,SCOC,SCHIP1,
200,SIX2,EYA1,
24,CUL5,SOCS7,
277,IQCB1,CEP290,
549,KLHL2,KLHL3,
148,RFC5,RAD17,
293,TOMM20L,ATXN3,
739,WDR59,GRB10,
277,PEG10,FAM127C,
415,NDEL1,FAM190B,
2,ZNF219,RBBP7,
33,PSMB1,PSMA8,
984,C6orf226,ACAA1,
805,SYT6,SYT3,
202,GSTM2,GSTM4,
727,DHRSX,ZBED1,
45,COMMD1,CCDC22,
83,PSMD7,C19orf60,
90,COPS6,COPS2,
135,TAF7L,TAF1,
20,RPRD1B,GRINL1A,
215,MIF4GD,CTIF,
187,TERF1,POT1,
223,MORF4L2,EP400NL,
563,NLGN3,NLGN1,
800,RCCD1,KCTD9,
118,MAGEA10,C12orf24,
642,CCDC132,TSSC1,
47,PRKAR2B,PRKX,
600,LILRA3,LILRB2,
104,PPP3CC,SIK3,
230,SSX2,SSX7,
102,C18orf21,RPP25,
355,LIN37,MYBL1,
142,ATP6V1C2,ATP6V1E2,
235,SCOC,C21orf91,
501,CINP,C1orf109,
333,IDH3A,IDH3B,
2,GATAD2B,HDAC1,
544,FAM109B,PLEKHJ1,
536,STK25,STK24,
1249,AKR1B10,AKR1B15,
35,POLR3GL,POLR3F,
102,POP4,C18orf21,
248,MEF2B,MEF2A,
807,TGIF2LY,TGIF2LX,
1293,ADSS,ADSSL1,
24,CUL5,TULP4,
1206,PGAM2,PGAM4,
90,COPS5,COPS3,
744,BNIP3,BNIP3L,
1234,COL4A3BP,MARK1,
18,CCNA2,CDK3,
649,APLF,XRCC6,
111,NSL1,ZWINT,
474,GATSL3,FAM164A,
706,NTM,OPCML,
127,DCTN1,ACTR1B,
190,TSC22D3,TSC22D4,
30,PHF15,MYST2,
13,AMPH,BIN1,
641,HOMER1,HOMER2,
84,HIF1AN,OTUD7B,
963,OXCT1,OXCT2,
67,CTBP1,LCOR,
1129,CHN1,CHN2,
836,TRIM16,TRIM16L,
278,DET1,RFWD2,
1,TSSC4,EAPP,
402,SOX5,SOX13,
110,FAM158A,TTC35,
62,SEPT2,SEPT7,
974,OBP2A,OBP2B,
24,LRRC28,CUL5,
45,CCDC22,MTMR2,
113,GTF2H2D,GTF2H2C,
365,CSTF2T,CSTF3,
572,MCL1,BAK1,
371,ELMO1,DOCK1,
28,GDI1,RAB22A,
148,RFC5,DSCC1,
760,NAA15,NAA16,
59,MZT2B,TUBGCP5,
1318,LILRB3,LILRA6,
199,CTAGE5,CTAGE8,
37,WDR5,ATN1,
2,HMG20A,HDAC1,
1181,IFNA4,IFNA7,
45,COMMD6,COMMD3,
599,TFEB,TFE3,
11,MED7,CCNC,
571,MTERF,PNPO,
555,NPRL2,NPRL3,
1157,LEFTY1,LEFTY2,
18,CCNA2,HELB,
370,APBA3,NFX1,
663,PFN2,NAT6,
113,ERCC3,GTF2H5,
173,UBXN2A,VCP,
860,GPS2,NCOR2,
68,EIF3G,EIF3I,
126,SUZ12,MTF2,
23,BCL7A,POTEJ,
840,SPATA1,SCYL2,
13,AP2M1,AAK1,
94,PCGF2,CBX8,
76,CCDC53,FAM21A,
27,CAPZA2,KIAA1211,
208,APBB2,APLP1,
115,NPDC1,ATP11A,
180,NRBF2,PIK3C3,
63,UNC119,PDE8A,
536,STK25,MST4,
52,TCF4,ID1,
184,OAZ3,ODC1,
291,TFDP2,E2F2,
149,NSMCE1,SMC5,
146,PRPS2,PRPS1,
80,MAPKAPK3,MAPK11,
190,TSC22D4,TSC22D1,
406,UPRT,UCK2,
33,PSMB4,PSMA8,
148,RFC5,RFC4,
849,TEAD4,TEAD1,
73,TMEM199,ATP6V0A2,
66,DTNBP1,BLOC1S3,
18,CCNA2,SCAPER,
387,AP1S2,HEATR5B,
172,DMD,DTNB,
515,PNLIP,PNLIPRP2,
62,SEPT1,SEPT4,
24,RAB40B,CUL5,
865,FOXD4,FOXD4L1,
1250,FAHD2A,FAHD2B,
74,GNAI1,GNAI3,
832,PRKAR1A,AKAP3,
570,GSTA2,GSTA3,
979,VPS39,RPS6KC1,
202,GSTM5,GSTM4,
31,PPP1CC,PPP1R8,
45,COMMD2,COMMD4,
20,RPRD1B,RPRD2,
94,PHC1,CBX8,
30,MEAF6,PHF16,
556,PHKG2,PHKA2,
90,COPS8,COPS5,
39,BTRC,HIVEP2,
36,IFT57,TTC30B,
68,EIF3I,EIF3CL,
20,GRINL1A,POLR2G,
544,FAM109B,INPP5B,
1232,PAIP1,PABPC1L,
76,CCDC53,KIAA1033,
26,STX7,NAPG,
113,GTF2H2D,GTF2H1,
847,LDHA,LDHC,
152,C14orf179,TTC21B,
66,BCAS4,MUTED,
536,PDCD10,MST4,
42,ASF1B,CDAN1,
800,RCCD1,JMJD5,
866,DNAJB4,DNAJB1,
397,TRAF1,TANK,
652,MAPRE1,MAPRE3,
603,GBP1,GBP3,
196,GFOD1,GFOD2,
13,AP2S1,AAK1,
135,TAF7L,TAF3,
27,CNOT7,C2orf29,
533,RAD1,ZFP161,
599,MITF,TFE3,
222,PACSIN3,PACSIN2,
869,STK35,CTDSPL2,
49,TLE4,TLE1,
437,IKBKG,IKBKB,
42,ASF1A,C15orf41,
374,CAPN1,CAST,
1055,MNAT1,CDK7,
172,SNTG2,DTNB,
93,RUVBL2,DPCD,
223,MORF4L1,EP400NL,
211,RABGGTB,PTAR1,
90,COPS8,COPS2,
423,RSU1,PARVB,
624,C16orf75,RMI1,
274,PIK3R3,PIK3CD,
813,TRIM10,FAM193B,
381,HLA-DRB3,LOC100507714,
18,CDK2,CDK3,
230,SSX2,SSX3,
408,WRAP73,WDR8,
21,CNBP,TRIM56,
272,SH3KBP1,SH3BP1,
694,CDRT15,MAP4K5,
742,DOCK10,DOCK9,
808,GABPB1,GABPA,
72,MEIS2,PBX2,
49,RIPPLY1,TLE4,
45,COMMD2,FAM45A,
423,ILK,PARVB,
1283,LANCL1,FIGN,
178,POLD2,REV3L,
489,MIS18A,CCDC96,
172,DMD,DTNA,
808,GABPB2,GABPA,
68,EIF3E,EIF3CL,
355,LIN9,MYBL2,
76,CCDC53,MGAT4A,
196,NKIRAS2,RALGAPA2,
418,CAMK2D,CAMK2B,
854,RAB3IL1,TMEM102,
64,LIN7C,DLG1,
115,PICK1,C9orf21,
12,ZNF232,SCAND3,
226,ATP6V0D1,MVD,
871,RCHY1,UBASH3B,
374,CAPN1,CD99L2,
135,TAF8,TAF3,
23,DPF2,SMARCC2,
42,HIST1H3A,CHAF1A,
78,P4HA3,KIF21A,
35,POLR1C,POLR3D,
362,DOCK8,LRCH1,
13,AP2M1,ITSN2,
42,ASF1B,C15orf41,
13,AP2M1,ITSN1,
29,VAPB,ACBD5,
556,PHKG2,PHKB,
438,RRM2,FZR1,
256,TCP10L,GRIPAP1,
551,LPIN3,LPIN1,
94,PCGF2,CBX2,
1180,SKA3,SKA1,
72,PKNOX1,PBX4,
102,POP4,RPP25,
196,GFOD1,RALGAPA1,
72,MEIS2,PBX4,
222,PACSIN2,COBLL1,
116,ARHGEF6,GIT1,
600,LILRA3,LILRB1,
1020,KIR3DL1,LOC100287457,
969,KIAA0748,ITPR1,
24,ASB8,CUL5,
379,FOXP2,FOXP1,
252,EIF1AY,EIF1AX,
1146,NUPL1,NUP62CL,
126,SUZ12,JARID2,
922,DPH3,SERGEF,
54,CETN1,SFI1,
30,PHF15,ING5,
172,DMD,CTNNAL1,
33,PSMB7,PSMA8,
80,MAPK14,MAPKAPK2,
588,LYRM5,ETFB,
230,SSX2,SSX5,
76,CCDC53,FAM21C,
13,AP2S1,AAGAB,
68,EIF3H,EIF3CL,
76,CCDC53,WASH3P,
23,BCL7C,DPF3,
200,SIX1,EYA4,
111,ZWINT,SPC25,
127,DCTN2,ACTR1B,
196,NKIRAS2,RALGAPA1,
265,THEM4,GPT2,
42,ASF1A,CDAN1,
148,DSCC1,CHTF8,
50,GRB2,WIPF1,
13,AP2M1,REPS1,
116,NCK2,CASKIN2,
72,MAB21L1,MEIS1,
90,COPS8,COPS6,
544,FAM109A,PLEKHJ1,
210,EXOC6,EXOC1,
41,WSB2,SNIP1,
55,LTBR,TCHP,
90,COPS7B,COPS6,
296,EAF1,KIAA0947,
2,HMG20A,PHF21A,
31,PPP1CC,KIF18A,
1104,CUTA,UPP1,
33,PSMB9,PSMA8,
62,SEPT7,SEPT5,
115,PICK1,CCDC123,
49,HIF1A,MYH2,
74,GNAI3,RGS12,
94,PCGF2,SCMH1,
1253,TNFRSF1A,TRADD,
686,CYB5D2,NPTX2,
290,CHCHD10,BNC2,
1075,OBFC1,C17orf106,
196,NKIRAS2,RALGAPB,
66,DTNBP1,BLOC1S2,
31,PPP1CA,PPP1R13L,
39,BTRC,CDC25B,
68,EIF3M,EIF3CL,
1166,TGM4,GAB2,
63,FAM13A,UNC119,
30,PHF15,ING4,
30,MYST2,PHF16,
748,VPS26B,TBC1D5,
474,GATSL3,GATSL2,
520,FLOT2,TMEM79,
236,DCAF7,ANKRD57,
45,CCDC22,COMMD4,
463,BFSP2,BFSP1,
57,SAMD4B,SAMD4A,
748,VPS26A,TBC1D5,
24,CUL5,ASB1,
115,PICK1,ICA1,
277,PEG10,LDOC1,
795,VPS4A,ZFYVE19,
14,NDUFB11,NDUFB7,
566,ATXN1,CIC,
1165,SH3YL1,SH3D19,
211,RABGGTB,PGBD5,
355,LIN37,MYBL2,
94,PHC1,CBX2,
283,C19orf46,KLC3,
272,SH3KBP1,ARAP1,
443,LRRC46,PACS2,
94,PCGF2,PHC3,
660,CTDSP1,CDCA3,
172,SNTG2,SNTA1,
63,UNC119,RNF34,
129,GMEB1,GMEB2,
93,RUVBL1,DPCD,
517,ASCC1,TRIP4,
715,STK38L,MOB2,
193,RAD21,STAG2,
50,GRB2,WIPF2,
50,GRB2,WASL,
438,FBXO5,FZR1,
72,MEIS2,PBX3,
128,AMMECR1L,PGGT1B,
23,SMARCE1,SMARCC2,
104,PPP3CC,NFATC4,
50,GRB2,CBLB,
12,ZNF434,ZNF394,
42,ASF1B,UBN1,
31,PPP1CA,SHOC2,
28,GDI1,RAB12,
53,PCDHGB1,PCDHGB3,
88,TRIM44,DACH1,
10,PIP4K2A,DIP2C,
76,CCDC53,KIAA0196,
151,ABI2,WASF1,
196,NKIRAS2,GFOD2,
223,MORF4L2,MRFAP1L1,
164,TSPAN2,SNX13,
93,RUVBL1,RUVBL2,
152,C14orf179,WDR35,
68,EIF3E,EIF3L,
139,SSBP4,LDB1,
221,RDBP,TH1L,
292,TRAF3IP3,FAM40B,
755,SPDEF,PRDM16,
696,CDR2,FAM184A,
944,NAALADL2,IGSF3,
24,RAB40B,RAB40C,
878,SNX7,SNX4,
426,CCDC41,LOC100287399,
135,TAF8,TAF2,
172,DMD,SNTA1,
52,FERD3L,TCF3,
30,MEAF6,ING4,
2,FAM60A,SAP130,
142,ATP6V1B1,NCOA7,
12,ZNF397,ZSCAN20,
110,FAM158A,C15orf24,
20,POLR2D,RPRD1B,
306,USP46,PHLPP2,
358,KHDRBS2,KHDRBS3,
139,SSBP3,ISL2,
116,NCK2,RAPH1,
374,CAPN1,TRIP12,
20,LMO2,GORAB,
251,UBXN4,IP6K1,
113,ERCC3,GTF2H1,
113,GTF2H2D,GTF2H3,
166,PER1,CRY1,
2,HMG20B,HDAC1,
28,GDI1,RAB24,
1,SNRPF,SNRPN,
172,SNTG2,CTNNAL1,
135,TAF8,TAF1,
93,RUVBL1,INO80,
3,MRPL10,MRPS30,
467,YTHDF3,YTHDF1,
37,WDR5,KDM6A,
180,ATG14,BECN1,
849,TEAD2,TEAD1,
50,WASL,WIPF2,
139,SSBP4,ISL2,
13,AP2M1,EPS15L1,
189,GINS3,GINS2,
68,EIF3L,EIF3CL,
33,PSMG2,PSMB9,
80,MAPK14,DUSP9,
162,FHL3,MKL2,
52,NEUROD1,TCF3,
1305,BMP1,TLL2,
172,SNTG2,SNTB1,
513,TBC1D15,TBC1D17,
100,RYBP,PCGF1,
693,TAP2,TAP1,
2,ZNF219,MTA3,
139,SSBP3,LDB1,
43,LRRC8B,LRRC8D,
11,MED21,MED26,
221,WHSC2,TH1L,
23,SMARCC2,BRD7,
29,VAPA,PITPNM1,
849,TEAD2,WWTR1,
149,ZNF597,SMC5,
126,SUZ12,EZH1,
18,CCNA2,RBL1,
31,PPP1CC,SHOC2,
180,C13orf18,PIK3C3,
113,GTF2H3,GTF2H1,
221,RDBP,COBRA1,
47,PRKAR2B,PALM2-AKAP2,
68,EIF3I,EIF3M,
355,LIN37,LIN52,
172,SNTG2,DTNA,
30,MEAF6,PHF17,
864,SHC1,SHC2,
15,DGUOK,DCK,
35,POLR3GL,POLR3H,
281,KIF3A,KIF3B,
821,MPP5,AMOTL2,
2,FAM60A,ARID4A,
1,LSM6,LSM5,
174,ERP44,ZFPM1,
